DS_Name,DS_Address,EE_Name,EE_Address,ED_Name,ED_Address,Match
zaffronristorante,6200yongestreet,zootscafe,1438dundasstreetwest,38,40,u
zaffronristorante,6200yongestreet,zorbasrestaurant,681danforthavenue,55,31,u
zaffronristorante,6200yongestreet,zorbasrestaurant,1549oconnordrive,55,26,u
zaffronristorante,6200yongestreet,zorbathegreek,85ellesmereroad,40,27,u
zaffronristorante,6200yongestreet,zorrabargrill,1595dupontstreet,33,52,u
zaffronristorante,6200yongestreet,zorrosbarandcafe,18satterlyroad,48,21,u
zaffronristorante,6200yongestreet,zoulpys,244kingstreeteast,25,56,u
zaffronristorante,6200yongestreet,zoulpysdelirestaurant,244kingstreeteast,47,56,u
zaffronristorante,6200yongestreet,zpicyspicy,1415yongestreet,22,73,u
zaffronristorante,6200yongestreet,zsazsa,2277bloorstreetwest,35,47,u
zaffronristorante,6200yongestreet,zsbar,2833westonroad,27,34,u
zaffronristorante,6200yongestreet,zteca,199baystreet,27,52,u
zaffronristorante,6200yongestreet,zteca,327kingstreetwest,27,56,u
zaffronristorante,6200yongestreet,ztecafoods,66gerrardstreeteast,37,53,u
zaffronristorante,6200yongestreet,ztecagourmetburritos,1800sheppardavenueeast,38,38,u
zaffronristorante,6200yongestreet,ztecagourmetburritos,327kingstreetwest,38,56,u
zaffronristorante,6200yongestreet,ztecagourmetburritos,2014queenstreeteast,38,53,u
zaffronristorante,6200yongestreet,ztecagourmetburritos,66gerrardstreeteast,38,53,u
zaffronristorante,6200yongestreet,ztecagourmetburritos,4700keelestreet,38,60,u
zaffronristorante,6200yongestreet,ztecamexicaneatery,175bloorstreeteast,40,42,u
zaffronristorante,6200yongestreet,zuccatrattoria,2150yongestreet,45,87,u
zaffronristorante,6200yongestreet,zucchero,2590westonroad,24,41,u
zaffronristorante,6200yongestreet,zuchterberkcreativecaterers,3560bathurststreet,32,48,u
zaffronristorante,6200yongestreet,zuchterberkcreativecaterers,4600bathurststreet,32,55,u
zaffronristorante,6200yongestreet,zumojuicebar,619collegestreet,28,65,u
zaffronristorante,6200yongestreet,zupasrestaurantdeli,34212adelaidestreetwest,56,42,u
zaffronristorante,6200yongestreet,zykafinefoodsbbq,2535wardenavenue,36,26,u
zaffronristorante,6200yongestreet,zyngasianmarketandnoodlery,730yongestreet,37,83,u
zaffronristorante,6200yongestreet,zytoon,397roncesvallesavenue,35,33,u
zaffronristorante,6200yongestreet,zzeuropeangrilldeli,1129broadviewavenue,39,29,u
zains,11ivybushavenue,zafferanogourmetpizza,579mountpleasantroad,23,23,u
zains,11ivybushavenue,zaffronristorante,6200yongestreet,36,27,u
zains,11ivybushavenue,zaglobarestaurant,317roncesvallesavenue,27,50,u
zains,11ivybushavenue,zagolauthenticethiopiancuisine,875bloorstreetwest,29,24,u
zains,11ivybushavenue,zagrosbarlounge,1245stclairavenuewest,30,44,u
zains,11ivybushavenue,zaiqahrestaurant,1291gerrardstreeteast,38,28,u
zains,11ivybushavenue,zaiqarestaurantsweets,1770albionroad,38,21,u
zains,11ivybushavenue,zakkushioncarlton,193carltonstreet,36,26,u
zains,11ivybushavenue,zallyscaffe,131bremnerboulevard,38,41,u
zains,11ivybushavenue,zamaleksandrasrestaurantandbar,1340thequeensway,23,32,u
zains,11ivybushavenue,zamrestaurantbar,1340thequeensway,29,32,u
zains,11ivybushavenue,zamzamhalalpizza,2980danforthavenue,29,42,u
zains,11ivybushavenue,zamzamhalalpizzaandwings,2980danforthavenue,34,42,u
zains,11ivybushavenue,zamzamhalalpizzawings,2980danforthavenue,38,42,u
zains,11ivybushavenue,zamzampizzaandwings,2980danforthavenue,42,42,u
zains,11ivybushavenue,zamzamrestaurant,1987kiplingavenue,29,50,u
zains,11ivybushavenue,zamzamtikkakabab,462birchmountroad,29,19,u
zains,11ivybushavenue,zanepatisserieboulangerie,1842queenstreeteast,27,29,u
zains,11ivybushavenue,zantebistro,1950gerrardstreeteast,50,22,u
zains,11ivybushavenue,zantecafe,1069midlandavenue,43,50,u
zains,11ivybushavenue,zanzibarcircustavern,359yongestreet,32,28,u
zains,11ivybushavenue,zavcoffeeshopandgallery,2048danforthavenue,21,42,u
zains,11ivybushavenue,zavidacoffeeroasters,384yongestreet,32,28,u
zains,11ivybushavenue,zazaespressobar,75yorkvilleavenue,30,44,u
zains,11ivybushavenue,zazaespressobar,25fontenaycourt,30,20,u
zains,11ivybushavenue,zazaespressobar,256beresfordavenue,30,48,u
zains,11ivybushavenue,zazaespressobargelato,775stclairavenuewest,23,40,u
zains,11ivybushavenue,zazaespressobargelato,2445yongestreet,23,27,u
zains,11ivybushavenue,zazaespressobargelato,200kingstreetwest,23,25,u
zains,11ivybushavenue,zazaespressobargelato,140laroseavenue,23,53,u
zains,11ivybushavenue,zazarestaurantbar,2063yongestreet,27,27,u
zains,11ivybushavenue,zazashawarma,500rexdaleboulevard,35,24,u
zains,11ivybushavenue,zazisrestaurant,44faskendrive,40,29,u
zains,11ivybushavenue,zazou,317kingstreetwest,40,31,u
zains,11ivybushavenue,zazuespressobarcannoli,29bellairstreet,22,27,u
zains,11ivybushavenue,zazurestaurant,26lombardstreet,32,27,u
zains,11ivybushavenue,zbargrille,2527eglintonavenuewest,40,38,u
zains,11ivybushavenue,zealburgers,1926westonroad,38,21,u
zains,11ivybushavenue,zed,812dundasstreetwest,25,29,u
zains,11ivybushavenue,zeezeeksbargrill,3832bloorstreetwest,29,24,u
zains,11ivybushavenue,zeitounrestaurant,980danforthavenue,36,44,u
zains,11ivybushavenue,zeldas,542churchstreet,55,27,u
zains,11ivybushavenue,zeldaslivingwell,76wellesleystreeteast,38,22,u
zains,11ivybushavenue,zeldaslivingwell,692yongestreet,38,28,u
zains,11ivybushavenue,zeldensdelianddesserts,1446yongestreet,30,33,u
zains,11ivybushavenue,zellers,2267islingtonavenue,33,47,u
zains,11ivybushavenue,zellers,3469lawrenceavenueeast,33,32,u
zains,11ivybushavenue,zellers,500rexdaleboulevard,33,24,u
zains,11ivybushavenue,zellers,2400eglintonavenuewest,33,38,u
zains,11ivybushavenue,zellers,900dufferinstreet,33,25,u
zains,11ivybushavenue,zellers,1700wilsonavenue,33,58,u
zains,11ivybushavenue,zellers,1571sandhurstcircle,33,41,u
zains,11ivybushavenue,zellers,2650lawrenceavenueeast,33,32,u
zains,11ivybushavenue,zellers,1880eglintonavenueeast,33,43,u
zains,11ivybushavenue,zellerscloverdalemallstore473,250theeastmall,18,21,u
zains,11ivybushavenue,zembabarestaurantbar,838bloorstreetwest,24,24,u
zains,11ivybushavenue,zembabarestorantbar,838bloorstreetwest,25,24,u
zains,11ivybushavenue,zemensportsbarandcafe,842bloorstreetwest,23,24,u
zains,11ivybushavenue,zemra,778stclairavenuewest,40,40,u
zains,11ivybushavenue,zenacaffe,250churchstreet,29,27,u
zains,11ivybushavenue,zenasdiner,2703eglintonavenueeast,53,38,u
zains,11ivybushavenue,zenasdiner,2693eglintonavenueeast,53,38,u
zains,11ivybushavenue,zenjapanesecuisine,4002sheppardavenueeast,35,43,u
zains,11ivybushavenue,zenjapaneserestaurant,2803eglintonavenueeast,31,38,u
zains,11ivybushavenue,zenlounge,526queenstreetwest,29,24,u
zains,11ivybushavenue,zenq,5437yongestreet,44,27,u
zains,11ivybushavenue,zeroone,792queenstreeteast,33,24,u
zains,11ivybushavenue,zerosunjapaneserestaurant,69yorkvilleavenue,27,44,u
zains,11ivybushavenue,zerosunjapaneserestaurant,3555kingstonroad,27,19,u
zains,11ivybushavenue,zerozoneplace,3290midlandavenue,22,44,u
zains,11ivybushavenue,zeuscafelounge,1940eglintonavenueeast,32,43,u
zains,11ivybushavenue,zeytouna,10dundasstreeteast,31,30,u
zains,11ivybushavenue,zeytouna,171dundasstreetwest,31,35,u
zains,11ivybushavenue,zezafounsyriancuisine,4manorroadeast,38,21,u
zains,11ivybushavenue,zezerestaurant,1704queenstreetwest,32,29,u
zains,11ivybushavenue,zhangsfamilyrestaurant,564wilsonheightsboulevard,30,30,u
zains,11ivybushavenue,zhenlinghomestylerestaurant,2039eglintonavenuewest,25,38,u
zains,11ivybushavenue,zhongguorestaurant,3838midlandavenue,26,44,u
zains,11ivybushavenue,zhusrestaurant,1baldwinstreet,32,34,u
zains,11ivybushavenue,ziapiera,2070yongestreet,46,27,u
zains,11ivybushavenue,ziggysmiddleeasternrestaurant,792bathurststreet,24,31,u
zains,11ivybushavenue,ziggysshawarmaandseafoodhouse,392queenstreetwest,24,24,u
zains,11ivybushavenue,zillysrestaurant,865wilsonavenue,29,53,u
